mjd airmass site
57009.0999118 1.0956459 lsc
57009.148633 1.0509058 lsc
57009.0918563 1.1125629 lsc
57009.0511329 1.2523735 lsc
57009.0553484 1.2329008 lsc
57009.0595579 1.2147678 lsc
57009.0636404 1.1983663 lsc
57009.0676583 1.1833136 lsc
57009.0958952 1.1037068 lsc
57009.0757084 1.1561592 lsc
57009.0797308 1.1440048 lsc
57009.0837531 1.1327326 lsc
57009.0878199 1.1221857 lsc
57009.0716941 1.1692147 lsc
57009.2095357 1.1241798 lsc
57009.2135575 1.1347509 lsc
57009.2175833 1.1461958 lsc
57009.2216103 1.1585381 lsc
57009.2256273 1.17178 lsc
57009.233891 1.2021413 lsc
57009.2380996 1.2193609 lsc
57009.2421663 1.237167 lsc
57009.2461954 1.2560448 lsc
57009.2055204 1.1144295 lsc
57009.2296517 1.1860876 lsc
57009.2502205 1.2762332 lsc
57009.1974545 1.0971932 lsc
57009.1934284 1.0897076 lsc
57009.2014772 1.1054083 lsc
57009.1567155 1.0522197 lsc
57009.1607927 1.0538032 lsc
57009.1648391 1.0559897 lsc
57009.1688586 1.0587759 lsc
57009.1526576 1.0512582 lsc
57009.1772729 1.0666248 lsc
57009.1813376 1.071421 lsc
57009.1853584 1.0768215 lsc
57009.1893897 1.0829224 lsc
57009.1730716 1.0623598 lsc
57009.3027591 1.7155363 lsc
57009.3148323 1.8916386 lsc
57009.310817 1.8282619 lsc
57009.3067944 1.7697055 lsc
57009.2987372 1.6655613 lsc
57009.2904465 1.5737514 lsc
57009.2864263 1.533939 lsc
57009.2824032 1.4968366 lsc
57009.2783707 1.4621784 lsc
57009.2743468 1.4299391 lsc
57009.2703304 1.399864 lsc
57009.2663118 1.3717572 lsc
57009.2622933 1.3454571 lsc
57009.2582661 1.320801 lsc
57009.2542481 1.2977986 lsc
57009.2946755 1.618852 lsc
